chainage_m,lon,lat,elev_m
5035.4,76.950436,29.987991,258.153015
5047.7,76.950557,29.988027,258.118988
5059.7,76.950675,29.988062,258.087006
5071.6,76.950792,29.988097,258.188995
5083.8,76.950911,29.988133,258.239014
5095.5,76.951026,29.988168,258.263
5107.4,76.951142,29.988203,258.244995
5119.2,76.951259,29.988237,258.233002
5131.5,76.951379,29.988273,258.213013
5143.5,76.951497,29.988308,258.161987
5155.4,76.951614,29.988343,258.105988
5167.6,76.951734,29.988379,258.076996
5179.6,76.951851,29.988414,258.036011
5191.5,76.951968,29.988449,257.977997
5202.5,76.952076,29.988482,258.026001
5214.4,76.952193,29.988517,258.015015
5224.9,76.952296,29.988548,258.005005
5236.9,76.952414,29.988583,258.015991
5249.0,76.952532,29.988619,258.082001
5261.0,76.95265,29.988655,258.161011
5273.1,76.952769,29.98869,258.028992
5285.2,76.952887,29.988726,258.061005
5297.2,76.953005,29.988762,257.990997
5309.3,76.953123,29.988799,257.988007
5321.4,76.953241,29.988835,257.993988
5333.4,76.953359,29.98887,258.019012
5345.6,76.953479,29.988905,258.002014
5356.1,76.953582,29.988935,257.967987
5368.2,76.953701,29.988971,257.992004
5380.0,76.953817,29.989006,257.838989
5392.0,76.953934,29.989042,257.697998
5404.0,76.954052,29.989078,257.804993
5413.9,76.954148,29.989108,257.768005
5425.8,76.954265,29.989144,257.717987
5437.8,76.954382,29.989181,257.639008
5449.7,76.954499,29.989216,257.656006
5461.9,76.954618,29.989252,257.826996
5474.0,76.954737,29.989288,257.720001
5486.3,76.954857,29.989325,257.759003
5498.5,76.954977,29.989362,257.725006
5510.7,76.955096,29.989398,257.734985
5521.1,76.955198,29.989429,257.838989
5531.3,76.955298,29.98946,257.932007
5543.2,76.955415,29.989495,257.774994
5555.2,76.955532,29.989532,257.756989
5567.3,76.95565,29.989568,257.662994
5579.3,76.955767,29.989604,257.690002
5591.2,76.955884,29.98964,257.523987
5603.3,76.956002,29.989676,257.458008
5614.5,76.956112,29.98971,257.40799
5626.6,76.956231,29.989746,257.522003
5638.6,76.956348,29.989782,256.806
5650.5,76.956464,29.989819,256.222992
5660.6,76.956562,29.98985,255.988998
5672.7,76.956681,29.989887,255.309006
5684.6,76.956798,29.989921,255.591995
5695.0,76.9569,29.989951,256.002991
5707.0,76.957018,29.989987,256.096985
5719.1,76.957136,29.990024,256.092987
