chainage_m,lon,lat,elev_m
143532.9,78.106379,29.641544,206.681
143545.1,78.106449,29.641452,206.735992
143557.3,78.106518,29.64136,206.865997
143569.7,78.106589,29.641268,207.003998
143581.8,78.106658,29.641177,207.102997
143594.0,78.106728,29.641085,207.072006
143606.3,78.106798,29.640993,207.072998
143617.5,78.106861,29.640909,207.110992
143629.6,78.106929,29.640817,207.082001
143641.9,78.106999,29.640725,207.070999
143654.1,78.107068,29.640633,207.080994
143666.4,78.107138,29.640541,207.156006
143678.1,78.107205,29.640453,207.237
143690.4,78.107274,29.64036,207.335007
143702.5,78.107342,29.640269,207.330994
143714.5,78.10741,29.640178,207.292999
143726.0,78.107475,29.640092,207.220993
143738.1,78.107544,29.640001,207.147003
143750.3,78.107614,29.639909,207.033005
143761.2,78.107676,29.639828,206.975998
143773.4,78.107746,29.639736,206.988007
143785.7,78.107816,29.639644,207.054993
143797.9,78.107886,29.639553,207.048004
143810.0,78.107956,29.639462,207.009995
143822.3,78.108026,29.63937,207.065994
143834.6,78.108095,29.639277,207.078003
143845.5,78.108157,29.639195,207.113998
143857.1,78.108222,29.639108,207.145004
143867.6,78.108282,29.639029,207.128006
143879.8,78.108352,29.638937,207.145996
143892.1,78.108422,29.638845,207.207001
143904.2,78.108491,29.638754,207.332001
143916.4,78.108559,29.638662,207.451004
143928.6,78.108628,29.63857,207.427002
143940.9,78.108698,29.638478,207.444
143952.9,78.108768,29.638388,207.535995
143965.3,78.108839,29.638296,207.632996
143977.5,78.10891,29.638205,207.748001
143989.7,78.108981,29.638114,207.843002
144002.0,78.109051,29.638022,207.947998
144014.2,78.109119,29.637929,207.964996
144026.3,78.109187,29.637838,207.748001
144038.5,78.109256,29.637746,207.552994
144050.6,78.109324,29.637655,207.376999
144062.8,78.109394,29.637563,207.300003
144075.1,78.109464,29.637471,207.322998
144087.3,78.109533,29.637379,207.391006
144099.5,78.109601,29.637287,207.363007
144111.8,78.10967,29.637194,207.315994
144124.0,78.109739,29.637102,207.237
144136.3,78.109808,29.637009,207.151993
144148.6,78.109878,29.636917,207.158997
144160.6,78.109946,29.636826,207.423996
144172.8,78.110015,29.636734,207.994995
144185.0,78.110084,29.636642,208.737
144197.4,78.110153,29.636549,209.595001
144209.5,78.110222,29.636458,210.610992
144221.6,78.110292,29.636367,211.904007
144233.7,78.110361,29.636277,213.522995
144245.7,78.110431,29.636187,215.419006
144257.9,78.110502,29.636097,217.298996
144269.6,78.110571,29.63601,219.384995
144281.6,78.110643,29.635922,221.091995
144293.5,78.110717,29.635837,219.951004
144300.2,78.110759,29.635789,219.014008
144312.2,78.110834,29.635703,217.300003
144324.3,78.11091,29.635616,215.604996
144336.6,78.110987,29.635529,214.171005
144348.8,78.111064,29.635442,213.264008
144360.9,78.11114,29.635355,212.929993
144373.2,78.111216,29.635266,212.791
144385.5,78.111291,29.635177,212.690002
144397.7,78.111365,29.635088,212.781006
144409.9,78.111439,29.634999,212.843002
144422.2,78.111514,29.63491,212.735992
144434.2,78.111587,29.634822,212.779999
144446.5,78.111661,29.634732,213.029007
144458.8,78.111735,29.634643,213.362
144471.0,78.111808,29.634553,213.921005
144483.3,78.11188,29.634462,214.593994
144495.5,78.111951,29.634371,215.235001
144507.7,78.112021,29.63428,215.703003
144519.9,78.112091,29.634188,216.078995
144532.2,78.112161,29.634096,216.695999
144544.5,78.112227,29.634002,217.033005
144556.7,78.112293,29.633908,217.266006
144568.8,78.11236,29.633816,217.947006
144581.1,78.112433,29.633726,219.612
144592.9,78.112507,29.633641,221.806
144605.1,78.112579,29.633551,222.904007
144617.3,78.112649,29.63346,223.156998
144629.4,78.112718,29.633369,223.160995
144641.6,78.112787,29.633277,223.328003
144653.9,78.112856,29.633184,223.542007
144666.2,78.112926,29.633092,223.826004
144678.3,78.112996,29.633001,224.175995
144690.6,78.113067,29.63291,224.425995
144702.7,78.113137,29.632819,224.470001
144714.8,78.113207,29.632729,224.677002
144727.0,78.113278,29.632639,224.690994
144739.2,78.11335,29.632548,224.862
144751.2,78.113422,29.63246,225.164001
144763.4,78.113494,29.63237,225.623001
144775.7,78.113566,29.632279,225.781998
144787.9,78.113637,29.632188,225.841003
144800.2,78.113709,29.632097,225.839005
144812.0,78.113779,29.63201,225.865005
144824.2,78.113851,29.63192,226.162994
144836.5,78.113923,29.631829,226.649994
144848.7,78.113994,29.631738,226.938995
144860.9,78.114064,29.631647,227.251007
144873.1,78.114135,29.631556,227.554993
144885.3,78.114206,29.631465,227.834
144897.6,78.114276,29.631373,228.078995
144909.8,78.114346,29.631282,228.453003
144922.0,78.114415,29.63119,229.042999
144934.2,78.114484,29.631098,229.682999
